title,artist,track_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
None Of Mine,"GotSome, Sharlene Hector",0eM3yV0jwNuQMltNjrPcgH,house,0.713,0.813,6,-4.939,1,0.0351,0.0535,0.00014,0.0347,0.722,124.917,6
Ashamed - The Martinez Brothers Remix,"THEMBA, Brenden Praise, The Martinez Brothers",4v0ammkqHS0nB1qXuJawTW,house,0.831,0.729,8,-7.134,0,0.0559,0.00231,0.209,0.173,0.773,126.022,3
Love Again - 7th Heaven Remix,"New Hype, 7th Heaven",0sZnTejH6nzJWZxLG4TuB2,house,0.575,0.854,9,-5.028,0,0.0446,0.0988,0.00295,0.0832,0.634,124.975,3
The Worship - Mark Knight Remix,"AVIRA, Diana Miro, Mark Knight",6LCgp1NiDUVwvQOIFLEKU6,house,0.595,0.931,9,-4.277,1,0.0366,0.0434,0.774,0.0496,0.503,123.985,11
Frisk,"Patrick Topping, Kevin Saunderson",4dB7bla8wMutu4Yq8stA7y,house,0.606,0.954,1,-7.779,1,0.0356,5.06e-05,0.929,0.109,0.136,128.021,11
Pump It Up,Endor,0GiwV6v3AgJfdu59tj719Y,house,0.899,0.894,1,-7.255,1,0.222,0.203,9.95e-05,0.0606,0.654,129.047,4
I Never Knew Love - MK Club Mix,"Chez Damier, MK",63lyzpRTsBMykKuOuYchgT,house,0.679,0.619,9,-11.692,1,0.0372,0.00323,3.63e-05,0.166,0.561,123.363,6
Club Addict,"Cat Dealers, FTampa, Spankox",4bCmNtxTlcWaiYCRV5oTZX,house,0.728,0.875,1,-5.676,1,0.0772,0.311,0.000441,0.281,0.788,124.992,4
Lay It On Me,"Low Steppa, Guy Burns",34yX1VFkBIlGMoPtBsBtmP,house,0.696,0.976,5,-5.31,0,0.0443,0.000974,0.0882,0.197,0.238,124.013,13
DM - Todd Terry Remix,"Ridney, Todd Terry",0omFZoHt6VMhLOynblNmn1,house,0.74,0.927,1,-4.951,1,0.0528,0.0396,0.000203,0.375,0.839,124.974,4
Sing It Back - Boris Dlugosch Mix,"Moloko, Boris Dlugosch, Michael Lange",6Z9XH9AinBw8TjIQUTtW5k,house,0.761,0.775,3,-7.495,0,0.0339,0.00698,0.000543,0.0512,0.966,123.017,8
Don't Turn Your Back,"Pancake, Olav Basoski",4djgPDHuYQ9ieFmI5Nyoun,house,0.797,0.99,5,-0.499,0,0.13,0.0472,0.839,0.0479,0.499,129.864,2
Transit,Andrea Oliva,0IfCfMYQCLpqhN3eFEVGtG,house,0.791,0.854,0,-9.042,1,0.0477,0.00287,0.923,0.0765,0.54,127.996,11
Make It Through,Low Steppa,19UxqjzTnjPLzHRTAvDd73,house,0.71,0.938,1,-5.905,1,0.0445,0.0144,0.311,0.338,0.655,125.007,4
That Sound,Steve Lawler,702AWQpbNjHAaRalgXizKC,house,0.635,0.893,6,-9.322,1,0.0425,0.00799,0.847,0.321,0.532,125.411,11
Another Chance,"Roger Sanchez, Oliver Heldens",2zJ5nuyOQi4jBvToG3HHys,house,0.643,0.913,7,-5.744,0,0.049,0.0212,0.0254,0.376,0.0441,128.01,15
I Can't Kick This Feeling When It Hits,Moodymann,2PmT3D5xmvVzZCf11L2ifX,house,0.686,0.634,2,-10.287,0,0.056,0.192,0.858,0.152,0.0783,119.933,2
Too Strong,Infinity Ink,3GQsE6qMPwzuz9wpBwKEe2,house,0.764,0.724,7,-9.517,1,0.0526,0.0101,0.836,0.0834,0.714,124.018,11
Believe - Mark Knight Remix,"Ministers de la Funk, Jocelyn Brown, Mark Knight",6JYpBm2J3WiXakHWnnEsH5,house,0.661,0.942,11,-2.587,0,0.0552,0.00762,0.0248,0.352,0.559,124.965,3
Love Again,New Hype,6INqXqlNPT1hvHu7e2ALte,house,0.673,0.725,9,-4.601,0,0.0322,0.0912,4.04e-05,0.253,0.65,124.969,3
Soul Heaven - Pastaboys Bini & Martini Remix,"The Goodfellas, Lisa Millet, Bini & Martini, Pastaboys",4zr2pNZ1nHHL4o4iMZ9E0z,house,0.792,0.704,1,-8.858,0,0.0576,0.00244,0.0031,0.104,0.743,126.029,8
Good Life - Inner City Edit of Carl Craig Remix,"Inner City, Carl Craig",5oHZkmXPUVU9nX0b9xW2iL,house,0.779,0.731,11,-8.43,0,0.0773,0.0268,0.000204,0.156,0.664,130.007,3
Been A Long Time - Mark Knight Remix,"The Fog, Chus & Ceballos, Mark Knight",28jgUJyQLoGRXMVn6fyI3e,house,0.774,0.936,3,-5.828,0,0.0483,0.000494,0.901,0.0506,0.715,124.003,2
Down Low,"Dombresky, Donnie Sloan, Ricky Ducati",6tOlIanD4JI5vZc1a0LxNd,house,0.675,0.805,4,-6.55,0,0.0346,0.0765,0.000974,0.182,0.762,122.017,8
My Feeling - Kick 'N' Deep Mix,Junior Jack,1GJPddM9mYZs6IwVfBfXAX,house,0.807,0.801,11,-7.206,0,0.138,0.00715,0.0773,0.827,0.673,131.008,5
Liquid Spirit - Claptone Remix,"Gregory Porter, Claptone",6wp5tGVNQYpKJPo1s3WUEY,house,0.877,0.62,4,-9.069,1,0.0549,0.00406,0.388,0.0549,0.296,120.997,11
Bits And Pieces - Matt Smallwood Remix,"Artemesia, Patrick Prins, Matt Smallwood",2OabuwN05vtrcSJXlxFK2L,house,0.734,0.936,0,-5.379,1,0.0331,0.0308,0.807,0.378,0.258,127.995,11
Only One Night,"Cedric Gervais, Tudor",3E9IjCRYLncxvIuCjsST9s,house,0.643,0.837,4,-6.579,0,0.0517,0.00068,0.000437,0.148,0.276,123.951,13
100% Pure Love - Extended Mix,"Armand Pena, Crystal Waters",5o2bBc9lITSXm0LQP54GBT,house,0.633,0.97,6,-5.944,0,0.0549,0.000354,0.0889,0.063,0.417,128.002,13
"So in Love With You (Full Intention 7"" Remix) [Radio Edit] [Remastered]","Duke, Michael Gray, Jon Pearn",1hZtUad4jEr1H32IhF9tkg,house,0.678,0.965,9,-5.038,1,0.0372,0.000827,0.0522,0.0406,0.873,130.434,6
U Got 2,Mambo Brothers,7qu7LoogxbgzGda0JFbqEU,house,0.642,0.936,11,-6.27,0,0.0552,0.000758,0.263,0.883,0.462,123.998,5
Ultra Flava - 2016 Version,Heller & Farley Project,3luZkXERXZkcH5whnCQEaB,house,0.775,0.834,5,-7.737,0,0.0389,0.315,0.931,0.0385,0.358,122.989,2
I Want Candy - Les Schmitz & Oliver Schmitz Mix,"Robbie Rivera, Oliver Schmitz, Les Schmitz",5X1n0ArWiNV5dktzymblmf,house,0.806,0.992,0,-6.781,1,0.0695,0.0864,0.915,0.519,0.203,128.0,11
Love Tonight - Vintage Culture & Kiko Franco Remix Edit,"Shouse, Vintage Culture, Kiko Franco",53ICqRSyTfhrrvNwVSP6am,house,0.487,0.708,10,-10.38,0,0.0392,0.00019,0.0319,0.2,0.0345,122.917,13
